축제명,개최년도,전체_방문자수,일평균_방문자수,시작일,종료일,기간일수,주말일수,숙박일수,여행유형,연도,1일_평균지출액(원),1인당_평균지출액(원),예상_총지출액(원),평균기온(°C),강수량(mm),일조시간(시간),교통_접근성_지수,지역_인구수(천명),지역_1인당_GRDP(백만원),프로그램_개수,예산(원),예산대비_효율성,소비액_예산비율,축제카테고리,홍보강도지수,예산대비_효율성(1천명기준)
강진만춤추는갈대축제,2017,268502,53700,20170911,20170915,5,2,4,1,2017,12178.0,69598.0,2069613416,18.3,16.5,6.1,67.4,294.0,32.8,21,90000000,0.0029833555555555,23.0,자연/계절,0.53,2.98
강진만춤추는갈대축제,2018,401368,57338,20180918,20180924,7,2,4,1,2018,12178.0,69598.0,2237225232,18.3,16.5,6.1,67.4,294.0,32.8,21,140000000,0.0028669142857142,15.98,자연/계절,0.8,2.87
강진만춤추는갈대축제,2019,339690,84922,20190919,20190922,4,2,4,1,2019,12178.0,69598.0,2812972890,18.3,16.5,6.1,67.4,294.0,32.8,21,100000000,0.0033969,28.13,자연/계절,0.67,3.4
강진만춤추는갈대축제,2020,141914,23652,20201016,20201021,6,2,4,1,2020,12178.0,69598.0,1398988212,18.3,16.5,6.1,67.4,294.0,32.8,21,50000000,0.00283828,27.98,자연/계절,0.27,2.84
강진만춤추는갈대축제,2021,429670,71611,20210920,20210925,6,2,4,1,2021,12178.0,69598.0,4212914350,18.3,16.5,6.1,67.4,294.0,32.8,21,160000000,0.0026854375,26.33,자연/계절,0.86,2.69
강진만춤추는갈대축제,2022,194270,38854,20220911,20220915,5,2,4,1,2022,12178.0,69598.0,1895492390,18.3,16.5,6.1,67.4,294.0,32.8,21,70000000,0.0027752857142857,27.08,자연/계절,0.38,2.78
강진만춤추는갈대축제,2023,466036,155345,20230914,20230916,3,2,4,1,2023,12178.0,69598.0,2780370776,18.3,16.5,6.1,67.4,294.0,32.8,21,180000000,0.0025890888888888,15.45,자연/계절,0.93,2.59
강진만춤추는갈대축제,2024,333619,55603,20241011,20241016,6,2,4,1,2024,12178.0,69598.0,2243254156,18.3,16.5,6.1,67.4,294.0,32.8,21,120000000,0.0027801583333333,18.69,자연/계절,0.66,2.78
강진청자축제,2017,143025,15891,20170223,20170303,9,1,5,1,2017,10373.0,10373.0,1483641232,20.5,25.2,5.1,42.6,318.0,32.2,13,70000000,0.0020432142857142,21.19,일반/기타,0.27,2.04
강진청자축제,2018,153835,17092,20180223,20180303,9,1,5,1,2018,12161.0,138638.0,21327453647,16.2,13.4,4.9,44.6,279.0,25.7,14,70000000,0.0021976428571428,304.68,일반/기타,0.3,2.2
